name	num_chains
minimal:N1_store_chain	20
minimal:N2_buildvec_compute	16
minimal:N3_cmp_cluster	7
minimal:N4_buildvec_4lane	12
minimal:N5_phi_stores	19
minimal:N6_branch_phi_stores	30
minimal:N7_horizontal_reduction	21
minimal:N8_intrinsic_buildvec	18
minimal:N9_rt_stride	29
minimal:N10_vec3_branch_compute	44
minimal:N11_phi_reorder_compute	17
minimal:N12_horizontal_max	30
minimal:N13_altcast_buildvec	15
minimal:N14_revec_shuffle_store	16
minimal:N15_insertvalue_struct	22
minimal:N16_dup_value_storechain	27
systematic:N10_T11	47
systematic:N10_T1	44
systematic:N10_T3	51
systematic:N10_T6	52
systematic:N10_T7	55
systematic:N11_T11	34
systematic:N11_T1	30
systematic:N11_T3	27
systematic:N11_T6	19
systematic:N11_T7	40
systematic:N12_T11	49
systematic:N12_T1	45
systematic:N12_T3	42
systematic:N12_T6	34
systematic:N12_T7	55
systematic:N13_T11	37
systematic:N13_T1	34
systematic:N13_T3	25
systematic:N13_T6	23
systematic:N13_T7	43
systematic:N14_T11	31
systematic:N14_T1	28
systematic:N14_T3	24
systematic:N14_T6	17
systematic:N14_T7	37
systematic:N15_T11	49
systematic:N15_T1	45
systematic:N15_T3	39
systematic:N15_T6	34
systematic:N15_T7	55
systematic:N16_T11	28
systematic:N16_T1	28
systematic:N16_T3	35
systematic:N16_T6	34
systematic:N16_T7	36
systematic:N1_T11	24
systematic:N1_T1	21
systematic:N1_T3	28
systematic:N1_T6	27
systematic:N1_T7	30
systematic:N2_T11	38
systematic:N2_T1	35
systematic:N2_T3	24
systematic:N2_T6	24
systematic:N2_T7	44
systematic:N3_T11	23
systematic:N3_T1	20
systematic:N3_T3	16
systematic:N3_T6	15
systematic:N3_T7	29
systematic:N4_T11	33
systematic:N4_T1	30
systematic:N4_T3	23
systematic:N4_T6	20
systematic:N4_T7	39
systematic:N5_T11	25
systematic:N5_T1	23
systematic:N5_T3	27
systematic:N5_T6	26
systematic:N5_T7	30
systematic:N6_T11	34
systematic:N6_T1	31
systematic:N6_T3	38
systematic:N6_T6	32
systematic:N6_T7	41
systematic:N7_T11	40
systematic:N7_T1	36
systematic:N7_T3	33
systematic:N7_T6	25
systematic:N7_T7	46
systematic:N8_T11	42
systematic:N8_T1	38
systematic:N8_T3	28
systematic:N8_T6	27
systematic:N8_T7	48
systematic:N9_T11	32
systematic:N9_T1	30
systematic:N9_T3	37
systematic:N9_T6	36
systematic:N9_T7	31
synthesis:S_altopcode_addsub	12
synthesis:S_altopcode_bitwise8	12
synthesis:S_altopcode_muldiv8	12
synthesis:S_altopcode_shifts8	12
synthesis:S_bswap_pattern	14
synthesis:S_copyable_lshr	23
synthesis:S_demote_types	15
synthesis:S_gathered_loads	28
synthesis:S_gather_shuffle	13
synthesis:S_horreduction_5wide	14
synthesis:S_horreduction_fmin	14
synthesis:S_horreduction_sum	14
synthesis:S_horreduction_xor	14
synthesis:S_load_chain_8wide	21
synthesis:S_logical_or	16
synthesis:S_loop_constant_stride	61
synthesis:S_mega_combined	58
synthesis:S_mixed_types_sext	19
synthesis:S_multi_ptr_stores	21
synthesis:S_R3_crossblock_reduction	21
synthesis:S_R3_interchangeable_binops	16
synthesis:S_R3_loop_reduction_phi	38
synthesis:S_R3_reuse_reduction	13
synthesis:S_R3_shl_merge_reduction	19
synthesis:S_reorder_chain	20
synthesis:S_shuffle_extract	13
synthesis:S_two_buildvectors	21
union_N	109
union_NT	115
union_S	108
per_T_signature_T1	29
per_T_signature_T3	23
per_T_signature_T6	18
per_T_signature_T7	40
per_T_signature_T11	32
